系列,年,地域,施設タイプ,客室稼働率
全施設,2011,福岡県,会社・団体の宿泊所,36.4
全施設,2011,福岡県,全体,59.0
全施設,2011,福岡県,旅館,28.1
全施設,2011,福島県,シティホテル,72.7
全施設,2011,福島県,ビジネスホテル,72.1
全施設,2011,福島県,リゾートホテル,39.7
全施設,2011,福島県,会社・団体の宿泊所,31.4
全施設,2011,福島県,全体,51.2
全施設,2011,福島県,旅館,38.5
全施設,2011,秋田県,シティホテル,56.0
全施設,2011,秋田県,ビジネスホテル,54.5
全施設,2011,秋田県,リゾートホテル,34.0
全施設,2011,秋田県,会社・団体の宿泊所,12.5
全施設,2011,秋田県,全体,42.1
全施設,2011,秋田県,旅館,33.2
全施設,2011,群馬県,シティホテル,51.7
全施設,2011,群馬県,ビジネスホテル,52.6
全施設,2011,群馬県,リゾートホテル,43.8
全施設,2011,群馬県,会社・団体の宿泊所,28.3
全施設,2011,群馬県,全体,43.8
全施設,2011,群馬県,旅館,39.0
全施設,2011,茨城県,シティホテル,57.0
全施設,2011,茨城県,ビジネスホテル,54.3
全施設,2011,茨城県,リゾートホテル,47.8
全施設,2011,茨城県,会社・団体の宿泊所,43.0
全施設,2011,茨城県,全体,46.8
全施設,2011,茨城県,旅館,27.3
全施設,2011,長崎県,シティホテル,62.2
全施設,2011,長崎県,ビジネスホテル,56.1
全施設,2011,長崎県,リゾートホテル,41.8
全施設,2011,長崎県,会社・団体の宿泊所,35.2
全施設,2011,長崎県,全体,45.6
全施設,2011,長崎県,旅館,35.7
全施設,2011,長野県,シティホテル,65.8
全施設,2011,長野県,ビジネスホテル,57.1
全施設,2011,長野県,リゾートホテル,39.1
全施設,2011,長野県,会社・団体の宿泊所,21.9
全施設,2011,長野県,全体,35.7
全施設,2011,長野県,旅館,27.6
全施設,2011,青森県,シティホテル,47.3
全施設,2011,青森県,ビジネスホテル,53.8
全施設,2011,青森県,リゾートホテル,46.7
全施設,2011,青森県,会社・団体の宿泊所,4.6
全施設,2011,青森県,全体,46.8
全施設,2011,青森県,旅館,36.8
全施設,2011,静岡県,シティホテル,59.2
全施設,2011,静岡県,ビジネスホテル,56.8
全施設,2011,静岡県,リゾートホテル,45.5
全施設,2011,静岡県,会社・団体の宿泊所,30.8
全施設,2011,静岡県,全体,45.2
全施設,2011,静岡県,旅館,36.2
全施設,2011,香川県,シティホテル,57.2
全施設,2011,香川県,ビジネスホテル,60.3
全施設,2011,香川県,リゾートホテル,55.7
全施設,2011,香川県,会社・団体の宿泊所,31.4
全施設,2011,香川県,全体,51.3
全施設,2011,香川県,旅館,35.9
全施設,2011,高知県,シティホテル,60.6
全施設,2011,高知県,ビジネスホテル,54.5
全施設,2011,高知県,リゾートホテル,40.8
全施設,2011,高知県,会社・団体の宿泊所,16.4
全施設,2011,高知県,全体,44.0
全施設,2011,高知県,旅館,28.3
全施設,2011,鳥取県,シティホテル,64.9
全施設,2011,鳥取県,ビジネスホテル,56.8
全施設,2011,鳥取県,リゾートホテル,51.1
全施設,2011,鳥取県,会社・団体の宿泊所,16.2
全施設,2011,鳥取県,全体,48.5
全施設,2011,鳥取県,旅館,40.7
全施設,2011,鹿児島県,シティホテル,65.1
全施設,2011,鹿児島県,ビジネスホテル,55.1
全施設,2011,鹿児島県,リゾートホテル,37.6
全施設,2011,鹿児島県,会社・団体の宿泊所,24.0
全施設,2011,鹿児島県,全体,47.2
全施設,2011,鹿児島県,旅館,37.4
全施設,2012,三重県,シティホテル,59.9
全施設,2012,三重県,ビジネスホテル,58.8
全施設,2012,三重県,リゾートホテル,35.2
全施設,2012,三重県,会社・団体の宿泊所,31.7
全施設,2012,三重県,全体,43.7
全施設,2012,三重県,旅館,32.3
全施設,2012,京都府,シティホテル,81.7
全施設,2012,京都府,ビジネスホテル,76.1
全施設,2012,京都府,リゾートホテル,60.1
全施設,2012,京都府,会社・団体の宿泊所,28.9
全施設,2012,京都府,全体,64.9
全施設,2012,京都府,旅館,40.8
全施設,2012,佐賀県,シティホテル,42.0
全施設,2012,佐賀県,ビジネスホテル,58.9
全施設,2012,佐賀県,リゾートホテル,44.0
全施設,2012,佐賀県,会社・団体の宿泊所,21.7
全施設,2012,佐賀県,全体,49.8
全施設,2012,佐賀県,旅館,43.2
全施設,2012,全国,シティホテル,72.5
全施設,2012,全国,ビジネスホテル,67.3
全施設,2012,全国,リゾートホテル,48.0
全施設,2012,全国,会社・団体の宿泊所,32.3
全施設,2012,全国,全体,54.8
全施設,2012,全国,旅館,35.5
全施設,2012,兵庫県,シティホテル,73.4
全施設,2012,兵庫県,ビジネスホテル,68.5
全施設,2012,兵庫県,リゾートホテル,56.6
全施設,2012,兵庫県,会社・団体の宿泊所,31.5
全施設,2012,兵庫県,全体,54.8
全施設,2012,兵庫県,旅館,35.4
全施設,2012,北海道,シティホテル,67.1
全施設,2012,北海道,ビジネスホテル,65.2
全施設,2012,北海道,リゾートホテル,42.2
全施設,2012,北海道,会社・団体の宿泊所,29.0
全施設,2012,北海道,全体,54.3
全施設,2012,北海道,旅館,41.8
全施設,2012,千葉県,シティホテル,70.5
全施設,2012,千葉県,ビジネスホテル,70.2
全施設,2012,千葉県,リゾートホテル,72.7
全施設,2012,千葉県,会社・団体の宿泊所,27.1
全施設,2012,千葉県,全体,61.2
全施設,2012,千葉県,旅館,33.2
全施設,2012,和歌山県,シティホテル,62.2
全施設,2012,和歌山県,ビジネスホテル,55.8
全施設,2012,和歌山県,リゾートホテル,50.5
全施設,2012,和歌山県,会社・団体の宿泊所,48.6
全施設,2012,和歌山県,全体,41.7
全施設,2012,和歌山県,旅館,37.4
全施設,2012,埼玉県,シティホテル,72.3
全施設,2012,埼玉県,ビジネスホテル,70.1
全施設,2012,埼玉県,リゾートホテル,29.4
全施設,2012,埼玉県,会社・団体の宿泊所,19.6
全施設,2012,埼玉県,全体,60.6
全施設,2012,埼玉県,旅館,38.3
全施設,2012,大分県,シティホテル,65.4
全施設,2012,大分県,ビジネスホテル,61.2
全施設,2012,大分県,リゾートホテル,56.9
全施設,2012,大分県,会社・団体の宿泊所,18.1
全施設,2012,大分県,全体,49.6
全施設,2012,大分県,旅館,35.9
全施設,2012,大阪府,シティホテル,81.1
全施設,2012,大阪府,ビジネスホテル,73.9
全施設,2012,大阪府,リゾートホテル,72.4
全施設,2012,大阪府,会社・団体の宿泊所,38.7
全施設,2012,大阪府,全体,71.6
全施設,2012,大阪府,旅館,29.2
全施設,2012,奈良県,シティホテル,71.9
全施設,2012,奈良県,ビジネスホテル,65.6
全施設,2012,奈良県,リゾートホテル,39.8
全施設,2012,奈良県,会社・団体の宿泊所,24.3
全施設,2012,奈良県,全体,41.1
全施設,2012,奈良県,旅館,29.9
全施設,2012,宮城県,シティホテル,73.3
全施設,2012,宮城県,ビジネスホテル,81.4
全施設,2012,宮城県,リゾートホテル,51.2
全施設,2012,宮城県,会社・団体の宿泊所,22.8
全施設,2012,宮城県,全体,65.2
全施設,2012,宮城県,旅館,44.6
全施設,2012,宮崎県,シティホテル,69.5
全施設,2012,宮崎県,ビジネスホテル,53.1
全施設,2012,宮崎県,リゾートホテル,40.6
全施設,2012,宮崎県,会社・団体の宿泊所,0.0
全施設,2012,宮崎県,全体,46.3
全施設,2012,宮崎県,旅館,29.3
全施設,2012,富山県,シティホテル,68.9
全施設,2012,富山県,ビジネスホテル,60.4
全施設,2012,富山県,リゾートホテル,47.6
全施設,2012,富山県,会社・団体の宿泊所,43.0
全施設,2012,富山県,全体,49.5
全施設,2012,富山県,旅館,35.8
全施設,2012,山口県,シティホテル,57.1
全施設,2012,山口県,ビジネスホテル,64.0
全施設,2012,山口県,リゾートホテル,53.3
全施設,2012,山口県,会社・団体の宿泊所,16.9
全施設,2012,山口県,全体,53.2
全施設,2012,山口県,旅館,37.6
全施設,2012,山形県,シティホテル,57.5
全施設,2012,山形県,ビジネスホテル,65.7
